,artistName,total_listens,genres
9050,The Wood Brothers,9,stomp and holler
6378,Passion Pit,9,modern rock
325,Angel Olsen,9,alternative americana
4761,King Krule,9,art pop
340,Animal Collective,9,baltimore indie
3543,Gus Dapperton,9,indie poptimism
7391,Shovels & Rope,9,alternative country
9823,YBN Cordae,9,dmv rap
5103,Lou Reed,9,classic rock
4688,Kero One,9,jazz rap
8348,The Claypool Lennon Delirium,9,neo-psychedelic
8519,The Greeting Committee,9,modern rock
8511,The Georgia Mass Choir,9,praise
4390,Johnny Cash,9,arkansas country
2917,Fiona Apple,9,art pop
8261,The Black Keys,9,blues rock
160,Alabama,9,country
7495,Slightly Stoopid,9,reggae rock
96,Ab-Soul,8,southern hip hop
5601,Miguel,8,r&b
4814,Kygo,8,edm
681,Begonia,8,deep new americana
3174,Future Islands,8,modern rock
1843,"Crosby, Stills & Nash",8,classic rock
2416,Doves,8,rock
4569,KOTA The Friend,8,rap
4762,King Princess,8,dance pop
9022,The Weeks,8,mississippi indie
8565,The Ink Spots,8,vocal harmony group
4142,Jelly Roll Morton,8,new orleans jazz
1760,Common Holly,8,quebec indie
3657,Herbie Hancock,8,jazz piano
6867,Ramones,8,skate punk
4366,John Mayer,8,neo mellow
6348,Parcels,8,aussietronica
8334,The Chainsmokers,8,electropop
3523,Gucci Mane,8,atl hip hop
9402,Ty Dolla $ign,8,trap soul
1151,Breakbot,8,filter house
2169,Dela,8,jazz rap
3765,Idris Muhammad,7,soul jazz
3966,James Blake,7,uk alternative pop
3972,James McAlister,7,experimental pop
2368,Domo Genesis,7,hip hop
3969,James Brown,7,soul
9509,Vic Mensa,7,southern hip hop
3791,Inner Wave,7,neo-psychedelic
969,Bluestaeb,7,indie deutschrap
5498,Melodys Echo Chamber,7,experimental pop
2403,Dope Lemon,7,australian indie
3904,Jack Symes,7,deep new americana
1955,DJ Khaled,7,rap
8621,The Lovin Spoonful,7,brill building pop
1753,Common,7,alternative hip hop
9575,Wand,7,noise pop
1730,Cold War Kids,7,stomp and holler
9347,Trey Anastasio,7,jam band
1666,Clap Your Hands Say Yeah,7,stomp and holler
299,Andrew Bird,7,freak folk
799,Big Wild,7,vapor soul
3089,Frankie Valli & The Four Seasons,7,adult standards
53,A Boogie Wit da Hoodie,7,melodic rap
5852,My Morning Jacket,7,roots rock
8733,The Mountain Goats,7,anti-folk
611,Bas,7,hip hop
3364,Gong Gong Gong 工工工,7,chinese indie rock
5994,Nelly,7,dance pop
1643,Cigarettes After Sex,7,shoegaze
3440,Grapetooth,7,indie garage rock
6091,Nightmares On Wax,7,trip hop
3388,Goth Babe,7,vapor soul
3707,Hoops,7,chillwave
6356,Parquet Courts,7,freak folk
7588,Snoop Dogg,7,hip hop
403,Aretha Franklin,7,memphis soul
3703,Homeboy Sandman,7,east coast hip hop
2245,Digable Planets,7,afrofuturism
5098,Lord Huron,7,stomp and holler
888,Blac Rabbit,7,neo-psychedelic
9293,Townes Van Zandt,7,alternative country
2744,Escort,7,balearic
408,Ariana Grande,7,post-teen pop
3579,HALA,7,indie garage rock
449,Art dEcco,7,canadian indie
4133,Jefferson Airplane,7,roots rock
7499,Slow Pulp,7,indie garage rock
3880,JID,6,hip hop
3923,Jackson Browne,6,mellow gold
2583,Edward Sharpe & The Magnetic Zeros,6,modern rock
7203,SWMRS,6,oakland indie
7428,Simon & Garfunkel,6,classic rock
2958,Fleetwood Mac,6,mellow gold
3588,HONNE,6,uk pop
2697,Emitt Rhodes,6,psychedelic rock
6993,Rihanna,6,barbadian pop
7347,Shannon & the Clams,6,bay area indie
9349,Triathalon,6,indie garage rock
3685,Hippo Campus,6,modern rock
3599,Haindling,6,neue volksmusik
1384,Caribou,6,chamber pop
2194,Derek & The Dominos,6,mellow gold
4776,Kirk Franklin,6,gospel r&b
8477,The Felice Brothers,6,traditional folk
28,2Pac,6,g funk
8183,The Animals,6,album rock
4436,Jorja Smith,6,pop
1672,Claude Debussy,6,classical
8599,The Lagoons,6,la indie
5721,Moe.,6,progressive bluegrass
9040,The Who,6,roots rock
5559,Michael Kiwanuka,6,british soul
4685,Kermit Ruffins,6,new orleans jazz
1212,Broken Social Scene,6,nu gaze
2038,Darius Rucker,6,modern country rock
1987,DOPE LEMON,6,australian indie
8434,The Doobie Brothers,6,yacht rock
4834,LImpératrice,6,french indie pop
2531,EARTHGANG,6,underground hip hop
4585,Kacey Musgraves,6,pop
4532,Justice,6,electronica
4591,Kamasi Washington,6,afrofuturism
6574,Pixies,6,alternative rock
6560,Pigeons Playing Ping Pong,6,jam band
4678,Kenny Chesney,6,contemporary country
6449,Pepper,6,reggae fusion
2461,Dreamville,6,rap
8921,The String Cheese Incident,5,jam band
5774,Moses Sumney,5,indie r&b
1898,Current Swell,5,victoria bc indie
4449,Joy Division,5,madchester
1435,Casey Veggies,5,hip hop
1867,"Crosby, Stills, Nash & Young",5,traditional folk
292,Amy Winehouse,5,british soul
5283,Major Lazer,5,moombahton
7419,Silver Jews,5,freak folk
9640,Weezer,5,alternative rock
6218,Oneohtrix Point Never,5,chamber psych
2970,Flo Rida,5,pop rap
9437,Uncle Kracker,5,country
833,Billie Holiday,5,adult standards
5361,Martin Garrix,5,progressive house
5644,Mike WiLL Made-It,5,underground hip hop
2975,Florida Georgia Line,5,contemporary country
6004,Neon Indian,5,denton tx indie
1634,Chuck Berry,5,blues rock
512,BRONCHO,5,indie garage rock
8820,The Replacements,5,permanent wave
5273,Madvillain,5,underground hip hop
6044,Nick Drake,5,freak folk
778,Big Shaq,5,london rap
8506,The Frights,5,san diego indie
5942,Nathaniel Rateliff & The Night Sweats,5,stomp and holler
1814,Craig Mack,5,gangster rap
3242,Gayngs,5,chillwave
9488,Vance Joy,5,pop rock
704,Ben Zaidi,5,folk-pop
5973,Neil Young,5,roots rock
1773,Cosmo Pyke,5,indie garage rock
5658,Milky Chance,5,german pop
10064,dvsn,5,urban contemporary
9051,The Yardbirds,5,album rock
4242,Joe Hertler and The Rainbow Seekers,5,michigan indie
4087,Jaymes Young,5,indie poptimism
8211,The Avalanches,5,indietronica
6846,Railroad Earth,5,new americana
1143,Brad Paisley,5,country road
9292,Towkio,5,underground hip hop
9243,Tony Bennett,5,vocal jazz
2095,Day Wave,5,shimmer pop
2810,Faces,5,glam rock
2083,Dawes,5,indie rock
8213,The Avett Brothers,5,indie folk
6573,Pink Skies,5,modern dream pop
5496,MellowHype,5,underground hip hop
6429,Pearl Jam,5,alternative rock
7957,Sylvan Esso,5,shimmer pop
2490,Duke Ellington,5,cool jazz
7880,Subject,5,victoria bc indie
4989,Lil Nas X,5,pop rap
6468,Perpetual Groove,5,jam band
9687,Whitney Houston,5,dance pop
5367,Martin Solveig,5,electro house
2680,Elvis Presley,5,rockabilly
7556,Smith Westerns,5,noise pop
2892,Felly,5,underground hip hop
7519,Sly & The Family Stone,5,funk
2059,David Bowie,5,album rock
2876,Faye Webster,5,indie rock
2869,Fats Waller,5,vocal jazz
6340,Palm,5,philly indie
8241,The Beach Boys,5,sunshine pop
3690,Hiss Golden Messenger,5,indie pop
7543,Smashing Pumpkins,5,post-grunge
3937,Jacob Sigman,4,ann arbor indie
9876,Yo Gotti,4,hip hop
5839,Mustard,4,rap
4540,Justin Timberlake,4,pop
