,trackName,artistName,total_listens_track,genres
16459,Flag at Half-Mast,Foxygen,1,chamber pop
16442,Fixin to Die,Bob Dylan,1,folk rock
16443,Fixin to Die,Bob Dylan,1,mellow gold
16444,Fixin to Die,Bob Dylan,1,rock
16445,Fixin to Die,Bob Dylan,1,roots rock
16446,Fixin to Die,Bob Dylan,1,singer-songwriter
16457,Flag at Half-Mast,Foxygen,1,alternative rock
16458,Flag at Half-Mast,Foxygen,1,baroque pop
16480,Flamenco Sketches - Alternate Take,Miles Davis,1,contemporary post-bop
16482,Flamenco Sketches - Alternate Take,Miles Davis,1,hard bop
16564,Flip Phones,Sjowgren,1,indie poptimism
16483,Flamenco Sketches - Alternate Take,Miles Davis,1,jazz
16511,Flamingo,Fruit Bats,1,new americana
16512,Flamingo,Fruit Bats,1,roots rock
16513,Flamingo,Fruit Bats,1,shimmer pop
16514,Flamingo,Fruit Bats,1,stomp and holler
16515,Flash,Lewis OfMan,1,french indie pop
16516,Flash,Lewis OfMan,1,french indietronica
16517,Flash,Lewis OfMan,1,new french touch
16528,Flashlight,The Amazing,1,swedish indie rock
16529,Flashlight - The GrooveMasters Mix,George Clinton,1,funk
16530,Flashlight - The GrooveMasters Mix,George Clinton,1,p funk
16531,Flashlight - The GrooveMasters Mix,George Clinton,1,soul
16532,Flat Foot Flewzy,NRBQ,1,country rock
16533,Flat Foot Flewzy,NRBQ,1,jangle pop
16534,Flat Foot Flewzy,NRBQ,1,power pop
16535,Flat Foot Flewzy,NRBQ,1,pub rock
16536,Flat Foot Flewzy,NRBQ,1,roots rock
16563,Flip Phones,Sjowgren,1,indie pop
16510,Flamingo,Fruit Bats,1,modern rock
16509,Flamingo,Fruit Bats,1,indie rock
16508,Flamingo,Fruit Bats,1,indie pop
16491,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,jazz fusion
16484,Flamenco Sketches - Alternate Take,Miles Davis,1,jazz fusion
16485,Flamenco Sketches - Alternate Take,Miles Davis,1,jazz trumpet
16486,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,bebop
16487,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,contemporary post-bop
16488,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,cool jazz
16489,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,hard bop
16490,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,jazz
16492,Flamenco Sketches - Studio Sequence 1,Miles Davis,1,jazz trumpet
16507,Flamingo,Fruit Bats,1,indie folk
16500,Flaming Hot Cheetos,Clairo,1,bedroom pop
16501,Flaming Hot Cheetos,Clairo,1,boston indie
16502,Flaming Hot Cheetos,Clairo,1,indie pop
16503,Flaming Hot Cheetos,Clairo,1,pop
16504,Flamingo,Fruit Bats,1,chamber pop
16505,Flamingo,Fruit Bats,1,deep new americana
16506,Flamingo,Fruit Bats,1,freak folk
16156,"Fill In The Blank (Live at the Newport Music Hall, Columbus, OH)",Car Seat Headrest,1,indie punk
16155,"Fill In The Blank (Live at the Newport Music Hall, Columbus, OH)",Car Seat Headrest,1,indie pop
16154,"Fill In The Blank (Live at the Newport Music Hall, Columbus, OH)",Car Seat Headrest,1,chamber pop
15695,"Fare Thee Well, Miss Carousel",Townes Van Zandt,1,country rock
15665,Far Nearer,Jamie xx,1,indietronica
15666,Far Nearer,Jamie xx,1,new rave
15667,Far Out,Homeboy Sandman,1,abstract hip hop
15668,Far Out,Homeboy Sandman,1,alternative hip hop
