,artistName,total_listens,genres
7202,SWMRS,6,modern rock
4775,Kirk Franklin,6,gospel
9034,The Who,6,folk rock
3880,JID,6,hip hop
4592,Kamasi Washington,6,contemporary jazz
4837,LImpératrice,6,new french touch
9348,Triathalon,6,indie garage rock
2961,Fleetwood Mac,6,yacht rock
8182,The Animals,6,album rock
8469,The Felice Brothers,6,alternative country
6449,Pepper,6,reggae fusion
6560,Pigeons Playing Ping Pong,6,jam band
4583,Kacey Musgraves,6,contemporary country
1203,Broken Social Scene,6,experimental pop
3685,Hippo Campus,6,modern rock
7348,Shannon & the Clams,6,garage rock
5560,Michael Kiwanuka,6,neo soul
3597,Haindling,6,german rock
28,2Pac,6,g funk
7427,Simon & Garfunkel,6,classic rock
2531,EARTHGANG,6,underground hip hop
4683,Kermit Ruffins,6,brass band
3588,HONNE,6,uk pop
1987,DOPE LEMON,6,australian indie
4679,Kenny Chesney,6,country
2461,Dreamville,6,rap
4436,Jorja Smith,6,pop
2579,Edward Sharpe & The Magnetic Zeros,6,chamber pop
1897,Current Swell,5,reggae rock
4989,Lil Nas X,5,pop rap
8236,The Beach Boys,5,brill building pop
7514,Sly & The Family Stone,5,classic rock
9291,Towkio,5,underground hip hop
7413,Silver Jews,5,alternative country
6844,Railroad Earth,5,jam band
2871,Faye Webster,5,atlanta indie
2869,Fats Waller,5,vocal jazz
9239,Tony Bennett,5,adult standards
7536,Smashing Pumpkins,5,alternative metal
5495,MellowHype,5,hip hop
2892,Felly,5,underground hip hop
2976,Florida Georgia Line,5,country
3689,Hiss Golden Messenger,5,indie folk
1861,"Crosby, Stills, Nash & Young",5,mellow gold
10059,dvsn,5,canadian contemporary r&b
1637,Chuck Berry,5,rock-and-roll
2970,Flo Rida,5,pop rap
5644,Mike WiLL Made-It,5,underground hip hop
9483,Vance Joy,5,folk-pop
779,Big Shaq,5,social media pop
9645,Weezer,5,rock
293,Amy Winehouse,5,neo soul
2092,Day Wave,5,indie rock
2488,Duke Ellington,5,bebop
5358,Martin Garrix,5,big room
9051,The Yardbirds,5,art rock
6215,Oneohtrix Point Never,5,ambient
5770,Moses Sumney,5,alternative r&b
8922,The String Cheese Incident,5,progressive bluegrass
4242,Joe Hertler and The Rainbow Seekers,5,michigan indie
1814,Craig Mack,5,gangster rap
6338,Palm,5,experimental pop
5270,Madvillain,5,alternative hip hop
7879,Subject,5,victoria bc indie
7953,Sylvan Esso,5,indie folk
1773,Cosmo Pyke,5,indie garage rock
9439,Uncle Kracker,5,pop rock
5966,Neil Young,5,album rock
8503,The Frights,5,indie pop
9688,Whitney Houston,5,urban contemporary
1141,Brad Paisley,5,contemporary country
5939,Nathaniel Rateliff & The Night Sweats,5,funk
6043,Nick Drake,5,folk rock
4448,Joy Division,5,garage rock
6006,Neon Indian,5,electropop
5367,Martin Solveig,5,electro house
2059,David Bowie,5,album rock
2083,Dawes,5,indie rock
7555,Smith Westerns,5,noise pop
3242,Gayngs,5,chillwave
6573,Pink Skies,5,modern dream pop
8212,The Avett Brothers,5,indie folk
5286,Major Lazer,5,tropical house
8210,The Avalanches,5,indietronica
2806,Faces,5,blues rock
837,Billie Holiday,5,torch song
8810,The Replacements,5,alternative pop
2678,Elvis Presley,5,adult standards
704,Ben Zaidi,5,folk-pop
512,BRONCHO,5,indie garage rock
6468,Perpetual Groove,5,jam band
1438,Casey Veggies,5,west coast trap
5658,Milky Chance,5,german pop
6433,Pearl Jam,5,rock
4087,Jaymes Young,5,indie poptimism
3416,Grand Funk Railroad,4,album rock
7216,SZA,4,rap
7037,Robin Bennich,4,background music
8616,The Lone Bellow,4,deep new americana
5869,N.W.A.,4,hardcore hip hop
7054,Rodriguez,4,folk rock
3365,Good Morning,4,experimental pop
3783,Injury Reserve,4,conscious hip hop
3958,James & Bobby Purify,4,classic soul
1645,City and Colour,4,canadian indie
1340,Camila Cabello,4,dance pop
9937,Young the Giant,4,modern alternative rock
6372,Part Time,4,nu gaze
1049,Bon Iver,4,chamber pop
1483,Cat Stevens,4,classic rock
9880,Yo Gotti,4,trap
1300,CHAI,4,japanese alternative rock
5840,Mustard,4,southern hip hop
4670,Keller Williams,4,jamgrass
4539,Justin Timberlake,4,dance pop
6141,ODESZA,4,chillwave
90,Aaron Neville,4,soul
6287,Overcoats,4,vapor soul
9989,ZHU,4,edm
9966,Yung Bae,4,future funk
5729,Monsune,4,bedroom pop
4342,John Legend,4,urban contemporary
4275,Johannes Bornlöf,4,calming instrumental
3773,Iggy Pop,4,post-punk
1589,Chiddy Bang,4,philly rap
