,trackName,artistName,total_listens_track,genres
10221,Congratulations (feat. Bilal),Mac Miller,18,hip hop
52411,Tiny Vessels,Death Cab for Cutie,18,modern rock
45132,Soulmate,Mac Miller,18,hip hop
22503,Hurt Feelings,Mac Miller,18,rap
28613,Lifes a Bitch (feat. AZ & Olu Dara),Nas,18,conscious hip hop
55104,Waves,Kanye West,18,chicago rap
15002,Everyone - 2013 Remaster,Van Morrison,18,soft rock
41364,Run,Chicano Batman,18,la indie
35941,On the Level,Mac DeMarco,18,edmonton indie
8883,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,18,dance pop
17849,Gelatin Mode,Post Animal,18,indie garage rock
35818,On Blue Mountain,Foxygen,18,garage rock
14753,Eternal,CHANCE THE RAPPER,18,pop rap
16908,For the First Time,Mac DeMarco,18,edmonton indie
9862,Come Back Baby,Pusha T,18,trap
33298,My Life Alone,Whitney,18,chamber pop
27453,LInconnue,Beach House,18,art pop
9871,Come Back to Earth,Mac Miller,18,hip hop
45239,Southern Nights,Whitney,18,stomp and holler
44802,Someday,The Strokes,18,modern rock
54425,Visions of Johanna,Bob Dylan,18,mellow gold
35793,Omen,Disclosure,18,uk dance
11743,Day & Night,Whitney,18,chamber pop
33999,New Girl (Toms Song),The Walters,18,chicago indie
52798,Touch The Sky,Kanye West,18,rap
50425,The New Year,Death Cab for Cutie,18,indie pop
18505,Go Out Fighting,Dr. Dog,17,modern folk rock
4985,Better Than,Lake Street Dive,17,boston rock
33454,Myth,Beach House,17,chamber pop
18602,Gods Plan,Drake,17,canadian hip hop
33560,Nanã,Polo & Pan,17,french indie pop
32050,Mistakes,Lake Street Dive,17,stomp and holler
8622,Chamber Of Reflection,Mac DeMarco,17,edmonton indie
19297,Got Me Fooled,Lake Street Dive,17,new americana
4667,Before I Know It,Whitney,17,stomp and holler
16993,Forever Turned Around,Whitney,17,stomp and holler
34700,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,17,rap
40462,Rhododendron,Whitney,17,indie pop
54347,Victory Lap: Danger Zone,Post Animal,17,neo-psychedelic
31389,Meet Me in the Morning,Bob Dylan,17,album rock
49158,The Bold Arrow Of Time,Tame Impala,17,australian psych
9378,Cinderella (feat. Ty Dolla $ign),Mac Miller,17,rap
10231,Connect the Dots (The Saga of Frank Sinatra),Car Seat Headrest,17,alternative rock
46223,Stoney,Saba,17,chicago rap
30206,Lucidity,Tame Impala,17,australian psych
31420,Melatonin,A Tribe Called Quest,17,alternative hip hop
1801,Alberta #2,Bob Dylan,17,singer-songwriter
8967,Chicago,Sufjan Stevens,17,baroque pop
25656,Its Only Right,Wallows,17,rock
25389,It Is Not Meant To Be,Tame Impala,17,neo-psychedelic
39550,Radio Cure,Wilco,17,roots rock
53383,Two Weeks,Grizzly Bear,17,chillwave
14119,Easy,Real Estate,17,indietronica
