,artistName,total_listens,genres
4074,Jay Som,104,indie folk
4075,Jay Som,104,indie pop
8773,The Notorious B.I.G.,104,hip hop
4077,Jay Som,104,indietronica
4078,Jay Som,104,oakland indie
4079,Jay Som,104,small room
8771,The Notorious B.I.G.,104,gangster rap
8774,The Notorious B.I.G.,104,rap
4076,Jay Som,104,indie rock
4068,Jay Som,104,bay area indie
4067,Jay Som,104,art pop
6563,Pinegrove,102,indie rock
6562,Pinegrove,102,indie pop
6561,Pinegrove,102,indie folk
6564,Pinegrove,102,new jersey indie
6565,Pinegrove,102,small room
6566,Pink Floyd,99,album rock
6568,Pink Floyd,99,classic rock
6570,Pink Floyd,99,psychedelic rock
6569,Pink Floyd,99,progressive rock
6567,Pink Floyd,99,art rock
6571,Pink Floyd,99,rock
6572,Pink Floyd,99,symphonic rock
9679,White Reaper,98,indie punk
9680,White Reaper,98,modern power pop
3383,Gorillaz,97,alternative hip hop
3384,Gorillaz,97,art pop
8523,The Head and the Heart,96,folk-pop
8524,The Head and the Heart,96,indie folk
8525,The Head and the Heart,96,indie pop
8526,The Head and the Heart,96,neo mellow
8527,The Head and the Heart,96,new americana
8528,The Head and the Heart,96,seattle indie
8529,The Head and the Heart,96,stomp and holler
5732,Moon Taxi,94,indietronica
5736,Moon Taxi,94,stomp and holler
5735,Moon Taxi,94,pop rock
5730,Moon Taxi,94,indie pop
5731,Moon Taxi,94,indie poptimism
5734,Moon Taxi,94,modern rock
5733,Moon Taxi,94,modern alternative rock
6114,Noname,93,alternative r&b
6115,Noname,93,chicago rap
6119,Noname,93,rap
6116,Noname,93,escape room
6118,Noname,93,indie soul
6953,Rex Orange County,93,bedroom pop
6954,Rex Orange County,93,indie r&b
6117,Noname,93,hip hop
6955,Rex Orange County,93,pop
6181,Okey Dokey,92,nashville indie
6180,Okey Dokey,92,indie garage rock
4813,Kweku Collins,92,underground hip hop
6426,Peach Pit,90,vancouver indie
6425,Peach Pit,90,modern rock
6424,Peach Pit,90,indie pop
7075,Rolling Blackouts Coastal Fever,88,australian indie
7078,Rolling Blackouts Coastal Fever,88,modern jangle pop
7077,Rolling Blackouts Coastal Fever,88,indie rock
7076,Rolling Blackouts Coastal Fever,88,chamber psych
7074,Rolling Blackouts Coastal Fever,88,australian garage punk
9336,Trampled by Turtles,87,duluth indie
9335,Trampled by Turtles,87,deep new americana
9337,Trampled by Turtles,87,indie folk
9342,Trampled by Turtles,87,stomp and holler
9341,Trampled by Turtles,87,roots rock
9340,Trampled by Turtles,87,progressive bluegrass
9338,Trampled by Turtles,87,jam band
6598,Pond,87,indie rock
6599,Pond,87,indietronica
9339,Trampled by Turtles,87,new americana
9334,Trampled by Turtles,87,bluegrass
6600,Pond,87,neo-psychedelic
2447,Drake,86,canadian hip hop
2452,Drake,86,toronto rap
2451,Drake,86,rap
2450,Drake,86,pop rap
2449,Drake,86,hip hop
2448,Drake,86,canadian pop
5645,Mild High Club,84,indie garage rock
5646,Mild High Club,84,neo-psychedelic
3902,Jack Johnson,81,neo mellow
8834,The Rolling Stones,79,protopunk
8835,The Rolling Stones,79,rock
8831,The Rolling Stones,79,album rock
8832,The Rolling Stones,79,british invasion
8833,The Rolling Stones,79,classic rock
2355,Djo,77,psychedelic pop
4565,KIDS SEE GHOSTS,76,rap
4566,KIDS SEE GHOSTS,76,underground hip hop
4564,KIDS SEE GHOSTS,76,hip hop
6016,Neutral Milk Hotel,73,athens indie
6017,Neutral Milk Hotel,73,chamber pop
6024,Neutral Milk Hotel,73,noise pop
6023,Neutral Milk Hotel,73,modern rock
6022,Neutral Milk Hotel,73,lo-fi
6021,Neutral Milk Hotel,73,indie rock
6020,Neutral Milk Hotel,73,indie pop
6018,Neutral Milk Hotel,73,e6fi
6014,Neutral Milk Hotel,73,alternative rock
6019,Neutral Milk Hotel,73,freak folk
6015,Neutral Milk Hotel,73,anti-folk
8607,The Lemon Twigs,72,baroque pop
8608,The Lemon Twigs,72,psychedelic pop
9885,Yo La Tengo,72,chamber pop
9884,Yo La Tengo,72,art pop
9883,Yo La Tengo,72,anti-folk
9886,Yo La Tengo,72,dream pop
9887,Yo La Tengo,72,freak folk
9888,Yo La Tengo,72,indie folk
9889,Yo La Tengo,72,indie pop
9882,Yo La Tengo,72,alternative rock
9890,Yo La Tengo,72,indie rock
9891,Yo La Tengo,72,lo-fi
9892,Yo La Tengo,72,new jersey indie
9893,Yo La Tengo,72,noise pop
9895,Yo La Tengo,72,slow core
9894,Yo La Tengo,72,permanent wave
3665,Hers,70,indie garage rock
6732,Q-Tip,70,neo soul
1792,Counting Crows,70,pop rock
1791,Counting Crows,70,neo mellow
1790,Counting Crows,70,alternative rock
6733,Q-Tip,70,queens hip hop
6731,Q-Tip,70,hip hop
3666,Hers,70,indie pop
6730,Q-Tip,70,hardcore hip hop
6729,Q-Tip,70,east coast hip hop
6728,Q-Tip,70,alternative hip hop
3667,Hers,70,liverpool indie
1794,Counting Crows,70,rock
1793,Counting Crows,70,post-grunge
6821,Radiohead,68,melancholia
6822,Radiohead,68,oxford indie
